type,oc_year,oc_data,oc_county,oc_region
住宅竊盜,112,0101,新北市,中和區
住宅竊盜,112,0101,屏東縣,新園鄉
住宅竊盜,112,0101,臺北市,內湖區
住宅竊盜,112,0102,臺中市,中區
住宅竊盜,112,0102,南投縣,埔里鎮
住宅竊盜,112,0102,新北市,永和區
住宅竊盜,112,0102,宜蘭縣,頭城鎮
住宅竊盜,112,0102,新北市,中和區
住宅竊盜,112,0102,新竹市,香山區
住宅竊盜,112,0102,新北市,新莊區
住宅竊盜,112,0103,宜蘭縣,礁溪鄉
住宅竊盜,112,0103,臺南市,中西區
住宅竊盜,112,0103,宜蘭縣,礁溪鄉
住宅竊盜,112,0103,臺南市,北區
住宅竊盜,112,0103,新北市,三重區
住宅竊盜,112,0103,高雄市,小港區
住宅竊盜,112,0103,基隆市,仁愛區
住宅竊盜,112,0103,苗栗縣,頭份市
住宅竊盜,112,0104,新北市,中和區
住宅竊盜,112,0104,臺南市,中西區
住宅竊盜,112,0104,苗栗縣,頭份市
住宅竊盜,112,0104,新北市,汐止區
住宅竊盜,112,0104,新竹市,香山區
住宅竊盜,112,0105,臺北市,大同區
住宅竊盜,112,0105,基隆市,信義區
住宅竊盜,112,0105,苗栗縣,頭份市
住宅竊盜,112,0105,基隆市,七堵區
住宅竊盜,112,0105,臺中市,龍井區
住宅竊盜,112,0105,雲林縣,麥寮鄉
住宅竊盜,112,0105,臺北市,萬華區
住宅竊盜,112,0105,南投縣,草屯鎮
住宅竊盜,112,0106,臺南市,安平區
住宅竊盜,112,0106,南投縣,埔里鎮
住宅竊盜,112,0106,新竹市,東區
住宅竊盜,112,0106,雲林縣,四湖鄉
住宅竊盜,112,0107,臺北市,松山區
住宅竊盜,112,0107,新竹縣,竹北市
住宅竊盜,112,0107,臺南市,玉井區
住宅竊盜,112,0107,彰化縣,大村鄉
住宅竊盜,112,0108,苗栗縣,竹南鎮
住宅竊盜,112,0108,雲林縣,東勢鄉
住宅竊盜,112,0108,苗栗縣,南庄鄉
住宅竊盜,112,0108,澎湖縣,馬公市
住宅竊盜,112,0108,南投縣,草屯鎮
住宅竊盜,112,0108,新竹市,東區
